Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Unofficial,Girl
133,80,浙江农林大学,春田花花幼儿园,4,292,+1(13),-1,-,-1,+1(59),-,-2,-,-,+1(32),+1(188),-,-9,0%,Silver,N,N
134,81,重庆大学,我们想peach,4,294,+1(15),-2,-,-,+1(38),-,-2,-,-,+1(124),+1(117),-,-,0%,Silver,N,N
134,,哈尔滨工业大学（威海）,芜湖摸鱼,4,294,+1(15),-10,-,-,+1(33),-,-11,-,-,+1(116),+1(130),-,-,0%,Silver,N,N
134,,太原理工大学,百闻不如一见队,4,294,+1(35),-3,-,-,+1(57),-,-,-,-,+1(70),+1(132),-,-,0%,Silver,N,N
137,,电子科技大学,UESTC_Afterglow,4,299,+1(32),-2,-,-,+1(58),-,-4,-,-,+1(80),+1(129),-,-,0%,Silver,N,N
138,82,东华大学,原神,4,301,+1(20),-,-,-,+1(62),-,-4,-,-,+1(57),+1(162),-,-,0%,Silver,N,N
139,,天津大学,我们都是好孩子,4,302,+1(33),-,-,-,+1(58),-,-,-,-,+1(73),+1(138),-,-,0%,Silver,N,N
139,83,中国海洋大学,我知道了,4,302,+1(29),-3,-,-,+1(51),-,-,-,-,+1(65),+1(157),-,-,0%,Silver,N,N
141,84,哈尔滨工业大学(深圳）,阿鲁巴,4,303,+1(11),-1,-,-,+1(42),-,-1,-,-,+1(128),+1(122),-,-,0%,Silver,N,N
142,85,合肥学院,终局之战,4,304,+1(20),-1,-,-,+1(55),-,-7,-,-,+1(72),+1(157),-,-,0%,Silver,N,N
143,86,华南师范大学,评测失败,4,307,+1(18),-,-,-,+1(43),-,-2,-,-,+1(70),+1(176),-,-,0%,Silver,N,N
144,87,西南民族大学,六十年春华秋实,4,310,+1(30),-,-,-,+1(79),-,-5,-,-,+1(48),+1(153),-,-,0%,Silver,N,N
145,88,金陵科技学院,yjj今晚就要,4,311,+1(37),-,-,-,+1(73),-,-7,-,-,+1(52),+1(149),-1,-,0%,Silver,N,N
146,,西安电子科技大学,灵稽一动,4,312,+1(19),-2,-,-1,+1(76),-,-5,-,-,+1(62),+1(155),-,-,0%,Silver,N,N
147,,华南师范大学,"""WAAA,'S""",4,315,+1(21),-,-,-,+1(41),-,-2,-,-,+1(66),+1(187),-,-,0%,Silver,N,N
148,,北京理工大学,摸鱼两年半,4,319,+1(25),-,-,-,+1(82),-,-6,-,-,+1(63),+1(149),-,-,0%,Silver,N,N
149,89,苏州大学,还是补题去吧,4,322,+1(14),-2,-,-,+1(52),-,-6,-,-,+1(98),+1(158),-,-,0%,Silver,N,N
150,90,北京科技大学,钠克,4,327,+1(32),-2,-,-,+1(62),-,-,-,-,+1(75),+1(158),-,-,0%,Silver,N,N
151,,上海大学,Mega进化,4,330,+1(19),-,-,-,+1(64),-,-13,-,-,+1(47),+1(200),-,-,0%,Bronze,N,N
152,,东北大学,时间拖延,4,331,+1(16),-3,-,-,+1(45),-,-8,-,-,+1(116),+1(154),-,-,0%,Bronze,N,N
152,91,湖南工业大学,a完这题去骑车,4,331,+1(32),-9,-,-,+1(74),-,-,-,-,+1(55),+1(170),-,-,0%,Bronze,N,N
154,92,中国矿业大学,矿课,4,332,+1(50),-,-,-,+1(67),-,-7,-,-,+1(74),+1(141),-,-,0%,Bronze,N,N
155,,哈尔滨工业大学(深圳）,逆流沙,4,335,+1(19),-3,-,-,+1(58),-,-3,-,-,+1(132),+1(126),-,-,0%,Bronze,N,N
156,93,江南大学,可是A不得,4,336,+1(27),-6,-,-,+1(84),-,-,-,-,+1(54),+1(171),-,-,0%,Bronze,N,N
157,,兰州大学,一切都是最好的,4,339,+1(28),-4,-,-,+1(110),-,-,-,-,+1(48),+1(153),-,-,0%,Bronze,N,N
157,94,北京工业大学,我在北极挖GitHub胶卷,4,339,+1(27),-,-,-,+1(50),-,-10,-,-,+1(104),+1(158),-,-,0%,Bronze,N,N
157,94,南昌大学,南中附大放铳队,4,339,+1(20),-,-,-,+1(66),-,-,-,-,+1(42),+1(211),-,-,0%,Bronze,N,N
160,,山东大学（威海）,玛珈山的LCY,4,342,+1(13),-,-,-,+1(45),-,-,-,-,+1(61),+1(223),-,-,0%,Bronze,N,N
161,96,华北水利水电大学,GOAT,4,345,+1(49),-,-,-,+1(55),-,-,-,-,+1(73),+1(168),-,-,0%,Bronze,N,N
162,,中国矿业大学,自动AC鸡,4,346,+1(39),-3,-,-,+1(48),-,-,-,-,+1(72),+1(187),-,-,0%,Bronze,N,N
162,,浙江师范大学,快想个队名,4,346,+1(24),+1(201),-,-,+1(51),-,-,-,-,+1(70),-2,-,-,0%,Bronze,N,N
164,,青岛大学,我们想要气球,4,348,+1(17),-1,-,-,+1(48),-,-3,-,-,+1(97),+1(186),-,-,0%,Bronze,N,N
165,97,哈尔滨理工大学,哈理工01队,4,352,+1(41),-1,-,-,+1(60),-,-6,-,-,+1(47),+1(204),-,-,0%,Bronze,N,N
165,,哈尔滨工程大学,你们队名就叫这个呀,4,352,+1(21),-,-,-,+1(45),-,-3,-,-,+1(66),+1(220),-,-,0%,Bronze,N,N
167,98,南京邮电大学,快进到AC,4,356,+1(20),-,-,-,+1(57),-,-6,-,-,+1(81),+1(198),-,-,0%,Bronze,N,N
168,,四川大学,随机对,4,357,+1(26),-,-,-,+1(42),-,-,-,-,+1(56),+1(233),-,-,0%,Bronze,N,N
169,99,北京林业大学,冲就完事,4,359,+1(26),-,-,-,+1(70),-,-,-,-,+1(93),+1(170),-,-,0%,Bronze,N,N
169,99,南华大学,我宣布个事儿,4,359,+1(32),-,-,-,+1(77),-,-3,-,-,+1(46),+1(204),-,-,0%,Bronze,N,N
169,99,北京信息科技大学,二次元去死,4,359,+1(22),-,-,-,+1(39),-,-8,-,-,+1(76),+1(222),-,-,0%,Bronze,N,N
172,,太原理工大学,蓝翔WA掘机,4,362,+1(24),-,-,-,+1(96),-,-7,-,-,+1(46),+1(196),-,-,0%,Bronze,N,N
173,102,西南交通大学,粑拉拉小魔仙,4,363,+1(51),-3,-,-,+1(130),-,-12,-,-,+1(56),+1(126),-,-,0%,Bronze,N,N
174,,青岛大学,均衡教派,4,366,+1(19),-,-,-,+1(45),-,-8,-,-,+1(132),+1(170),-,-,0%,Bronze,N,N
174,103,中国石油大学,五行不缺水木火土,4,366,+1(29),-1,-,-,+1(66),-,-5,-,-,+1(67),+1(204),-,-,0%,Bronze,N,N
176,,东南大学,猛男,4,367,+1(22),-4,-,-,+1(54),-,-,-,-,+1(76),+1(215),-,-,0%,Bronze,N,N
176,,山东科技大学,NCC31911 萨拉托加号,4,367,+1(22),-1,-,-,+1(57),-,-1,-,-,+1(46),+1(242),-,-,0%,Bronze,N,N
178,104,南通大学,扬帆社,4,369,+1(28),-,-,-,+1(98),-,-7,-,-,+1(53),+1(190),-,-,0%,Bronze,N,N
179,105,宁波大学,快乐的小马驹,4,370,+1(12),-2,-,-,+1(57),-,-4,-,-,+1(112),+1(189),-,-,0%,Bronze,N,N
179,105,青岛科技大学,故事会,4,370,+1(28),-,-,-,+1(54),-,-,-,-,+1(37),+1(251),-,-,0%,Bronze,N,N
