Rank,School Rank,School,Team,Solved,Penalty,Member1,Member2,Member3,Medal,Unofficial,Girl
196,,深圳大学,SZU-Euclid,2,258,梁泽荣,蒋术焜,林烨堃,Bronze,N,N
197,,福建师范大学,随机队名,2,259,许泽昊,陈杨涛,周奕帆,Bronze,N,N
198,115,北京邮电大学,珊瑚宫心海,2,264,董凯文,高畅,董建威,Bronze,N,N
199,,西安电子科技大学,二重虹,2,267,石潇,花煦,周益全,Bronze,N,N
200,116,西北工业大学,东大村三巫师,2,268,杨莫凡,季昕泽,肖宇涵,Bronze,N,N
201,,苏州大学,咕咕咕咕咕咕咕咕咕,2,268,殷九思,林志诚,徐一,Bronze,N,N
202,116,哈尔滨工程大学,人菜瘾大,2,269,周智,常一帆,管袁菲,Bronze,N,N
203,118,南昌航空大学,斩首之夜,2,269,吴博雄,吕锴伦,王复兴,Bronze,N,N
204,,华东师范大学,正式参赛好开心,2,270,汪鼎尊,无,无,Bronze,N,N
205,119,中南大学,只能靠签到维生这样子,2,275,郭欣澜,包晗,周硕,Bronze,N,N
206,120,上海理工大学,令和三年的上海爱丽丝,2,275,潘孝安,无,无,Bronze,N,N
207,121,上海大学,还是你懂的多啊,2,276,王启隆,彭昊辉,康高熙,Bronze,N,N
208,,电子科技大学中山学院,文君志鸿队2022,2,280,陈佳宝,吴宝,林国杰,Bronze,N,N
209,,金华职业技术学院,XQ DDW,2,283,兰强强,褚茂誉,林宇浩,Bronze,N,N
210,,中国地质大学（武汉）,特困生,2,284,曹世杰,刘剑峰,秦浩然,Bronze,N,N
211,122,大连海事大学,队名无所谓,2,284,,,,Honorable,N,N
212,,华南师范大学,天江行者,2,284,,,,Honorable,N,N
213,123,东南大学,我走错了考场,2,285,,,,Honorable,N,N
214,123,哈尔滨工业大学（威海）,西伯利亚狼,2,286,,,,Honorable,N,N
215,,南京理工大学,小星星,2,286,,,,Honorable,N,N
216,125,南阳师范学院,皮卡皮卡,2,287,,,,Honorable,N,N
217,,江西师范大学,call of accept,2,288,,,,Honorable,N,N
218,125,湖南科技大学,天道酬勤,2,288,,,,Honorable,N,N
219,127,湖南文理学院,今天刷抖音了没,2,289,,,,Honorable,N,N
220,,郑州大学,圣嘉然之力,2,290,,,,Honorable,N,N
221,128,东北大学秦皇岛分校,GG仔,2,291,,,,Honorable,N,N
222,,中国民航大学,文明牛魔王想下班,2,292,,,,Honorable,N,N
223,,东南大学,墨西哥鸡肉卷,2,293,,,,Honorable,N,N
224,,上海海事大学,昆明考全蛙,2,293,,,,Honorable,N,N
225,,山东大学（威海）,来不及起名了,2,294,,,,Honorable,N,N
226,,中国人民大学,蒙古上单,2,295,,,,Honorable,N,N
227,,南京航空航天大学,教练，我想打电竞,2,297,,,,Honorable,N,N
228,129,浙江机电职业技术学院,蜜汁辣酱,2,297,,,,Honorable,N,N
229,,大连理工大学,航航今天吃什么,2,299,,,,Honorable,N,N
230,130,河南大学,十三号永动机,2,299,,,,Honorable,N,N
231,131,哈尔滨工业大学（威海）,青州街幼儿园,2,301,,,,Honorable,N,N
